start,end,rides
1,1,88
1,2,25
1,3,81
1,4,149
1,5,69
2,1,13
2,2,269
2,3,46
2,4,46
2,5,43
3,1,67
3,2,73
3,3,72
3,4,20
3,5,27
4,1,138
4,2,110
4,3,37
4,4,47
4,5,13
5,1,43
5,2,45
5,3,22
5,4,14
5,5,31
