date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
11/02/13,2,1,1,8,3,5,54,,1,7,0,,,1,,,0,
11/03/13,8,5,3,8,3,5,53,,1,1,0,,,,,,0,
11/04/13,19,19,0,19,16,3,52,,0,2,0,,,,,,0,
11/05/13,12,11,1,18,15,2,56,,0,3,0,,,1,,,0,
11/06/13,24,17,7,17,15,2,56,,0,4,0,,,,,,0,
11/07/13,21,16,5,18,15,2,57,,0,5,0,,,1,,,0,
11/08/13,28,22,6,17,14,3,56,,0,6,0,,,,,,0,
11/09/13,2,0,2,8,3,5,55,,1,7,0,,,,,,0,
11/10/13,7,3,4,8,3,5,54,,1,1,0,1,,,,,0,
11/11/13,20,17,3,19,16,3,58,,0,2,0,,,,,,1,Veterans Day
11/12/13,15,14,1,18,15,2,60,,0,3,0,,,,,,0,
11/13/13,23,21,2,17,15,2,56,,0,4,0,,,,,,0,
11/14/13,23,21,2,18,15,2,56,,0,5,0,,,,,,0,
11/15/13,15,14,1,17,14,3,53,,0,6,0,,,,,,0,
11/16/13,6,1,5,8,3,5,52,,1,7,0,,,,,,0,
11/17/13,11,2,9,8,3,5,51,,1,1,0,,,,,,0,
11/18/13,18,16,2,19,16,3,51,,0,2,0,,,,,,0,
11/19/13,11,11,0,18,15,2,56,1,0,3,0,,,,,,0,
11/20/13,19,19,0,17,15,2,57,1,0,4,0,,,,,,0,
11/21/13,21,20,1,18,15,2,54,,0,5,0,,,1,,,0,
11/22/13,14,14,0,17,14,3,52,,0,6,0,,,,,,0,
11/23/13,5,4,1,8,3,5,51,,1,7,0,,,1,,,0,
11/24/13,2,0,2,8,3,5,49,,1,1,0,,,,,,0,
11/25/13,20,18,2,19,16,3,49,,0,2,0,,,,,,0,
11/26/13,29,18,11,18,15,2,51,,0,3,0,,,,,,0,
11/27/13,15,15,0,17,15,2,52,,0,4,0,,,1,,,0,
11/28/13,9,3,6,18,15,2,54,,0,5,0,,,,,,1,Thanksgiving
11/29/13,9,0,9,17,14,3,52,,0,6,0,,,1,,,1,Thanksgiving Friday
11/30/13,4,1,3,8,3,5,51,,1,7,0,,,1,,,0,
12/01/13,11,6,5,8,3,5,51,,1,1,0,1,,,,,0,
12/02/13,23,22,1,19,16,3,50,,0,2,0,,,,,,0,
12/03/13,23,22,1,18,15,2,50,,0,3,0,,,,,,0,
12/04/13,22,21,1,17,15,2,41,,0,4,0,,,,,,0,
12/05/13,15,15,0,18,15,2,38,,0,5,0,,,,,,0,
12/06/13,7,6,1,17,14,3,44,1,0,6,0,,,,,,0,
12/07/13,4,3,1,8,3,5,45,1,1,7,0,,,,,,0,
12/08/13,8,6,2,8,3,5,38,,1,1,0,1,,,,,0,
12/09/13,25,23,2,19,16,3,38,,0,2,0,,,,,,0,
12/10/13,22,18,4,18,15,2,38,,0,3,0,,,1,,,0,
12/11/13,21,19,2,17,15,2,42,,0,4,0,,,,,,0,
12/12/13,21,18,3,18,15,2,42,,0,5,0,,,1,,,0,
12/13/13,15,11,4,17,14,3,44,,0,6,0,,,,,,0,
12/14/13,3,2,1,8,3,5,45,,1,7,1,,,,,,0,
12/15/13,5,5,0,8,3,5,45,,1,1,1,,,,,,0,
12/16/13,21,19,2,19,16,3,48,,0,2,1,,,,,,0,
12/17/13,13,13,0,18,15,2,50,,0,3,1,,,,,,0,
12/18/13,17,17,0,17,15,2,50,,0,4,1,,,,,,0,
12/19/13,22,22,0,18,15,2,48,,0,5,0,,,,,,0,
12/20/13,14,12,2,17,14,3,46,,0,6,0,,,,,,0,
12/21/13,2,0,2,8,3,5,47,,1,7,0,,,1,,,0,
12/22/13,1,1,0,8,3,5,50,,1,1,0,,,,,,0,
12/23/13,14,10,4,19,16,3,48,,0,2,0,1,,1,,,0,
12/24/13,1,0,1,18,15,2,50,,0,3,0,,,,,,1,Christmas Eve
12/25/13,15,3,12,17,15,2,48,,0,4,0,,,,,,1,Christmas
12/26/13,10,7,3,18,15,2,49,,0,5,0,,,,,,0,
12/27/13,8,3,5,17,14,3,46,,0,6,0,,,,,,0,
12/28/13,13,4,9,8,3,5,47,,1,7,0,,,,,,0,
12/29/13,1,1,0,8,3,5,49,,1,1,0,,,1,,,0,
12/30/13,13,10,3,19,16,3,47,,0,2,0,,,,,,0,
12/31/13,6,2,4,18,15,2,46,,0,3,0,,,,,,1,New Years Eve
01/01/14,4,4,0,17,15,2,46,,0,4,0,,,,,,1,New Years
01/02/14,21,17,4,18,15,2,48,,0,5,0,,,1,,,0,
01/03/14,20,17,3,17,14,3,49,,0,6,0,,,,,,0,
01/04/14,4,0,4,8,3,5,49,,1,7,0,,,,,,0,
01/05/14,16,10,6,8,3,5,47,,1,1,0,,,,,,0,
01/06/14,18,15,3,19,16,3,48,,0,2,0,,,,,,0,
01/07/14,36,35,1,18,15,2,50,,0,3,0,,,,,,0,
01/08/14,18,18,0,17,15,2,52,,0,4,0,,,,,,0,
01/09/14,21,21,0,18,15,2,50,,0,5,0,,,1,,,0,
01/10/14,20,19,1,17,14,3,49,,0,6,0,,,,,,0,
01/11/14,6,3,3,8,3,5,49,,1,7,0,,,1,,,0,
01/12/14,2,0,2,8,3,5,48,,1,1,0,,,,,,0,
01/13/14,26,19,7,19,16,3,51,,0,2,0,,,,,,0,
01/14/14,27,24,3,18,15,2,54,,0,3,0,,,,,,0,
01/15/14,24,17,7,17,15,2,52,,0,4,0,,,,,,0,
01/16/14,32,29,3,18,15,2,52,,0,5,0,,,,,,0,
01/17/14,14,13,1,17,14,3,50,,0,6,0,,,,,,0,
01/18/14,4,0,4,8,3,5,49,,1,7,0,,,,,,0,
