Date,SF-Total,SF-Subscriber,SF-Customer,SJ-Total,SJ-Subscriber,SJ-Customer,RC-Total,RC-Subscriber,RC-Customer,MV-Total,MV-Subscriber,MV-Customer,PA-Total,PA-Subscriber,PA-Customer
11/22/13,912,819,93,56,40,16,5,5,0,14,14,0,8,4,4
11/23/13,458,212,246,54,24,30,1,1,0,5,4,1,7,2,5
11/24/13,304,172,132,41,16,25,0,0,0,2,0,2,1,1,0
11/25/13,923,835,88,58,54,4,7,7,0,20,18,2,11,8,3
11/26/13,893,809,84,64,58,6,7,7,0,29,18,11,11,9,2
11/27/13,637,581,56,56,50,6,4,4,0,15,15,0,8,4,4
11/28/13,243,99,144,8,6,2,2,0,2,9,3,6,10,0,10
11/29/13,345,171,174,24,18,6,1,0,1,9,0,9,5,3,2
11/30/13,272,143,129,23,17,6,0,0,0,4,1,3,8,4,4
12/01/13,291,191,100,21,13,8,0,0,0,11,6,5,6,2,4
12/02/13,793,772,21,48,45,3,2,2,0,23,22,1,12,12,0
12/03/13,835,809,26,51,48,3,3,3,0,23,22,1,5,5,0
12/04/13,889,844,45,66,63,3,3,3,0,22,21,1,12,10,2
12/05/13,846,782,64,60,50,10,4,4,0,15,15,0,11,10,1
12/06/13,665,602,63,50,46,4,2,2,0,7,6,1,3,2,1
12/07/13,259,176,83,12,11,1,1,1,0,4,3,1,1,1,0
12/08/13,247,180,67,17,14,3,0,0,0,8,6,2,2,1,1
12/09/13,716,690,26,57,57,0,0,0,0,25,23,2,9,9,0
12/10/13,806,752,54,42,41,1,1,1,0,22,18,4,7,4,3
12/11/13,812,750,62,61,59,2,2,2,0,21,19,2,7,3,4
12/12/13,882,804,78,48,48,0,4,4,0,21,18,3,11,7,4
12/13/13,887,766,121,47,38,9,3,3,0,15,11,4,10,7,3
12/14/13,364,243,121,22,17,5,1,1,0,3,2,1,2,2,0
12/15/13,289,180,109,21,17,4,0,0,0,5,5,0,4,2,2
12/16/13,863,766,97,45,38,7,4,4,0,21,19,2,13,13,0
12/17/13,904,834,70,46,45,1,5,3,2,13,13,0,7,7,0
12/18/13,854,799,55,48,47,1,4,4,0,17,17,0,5,4,1
12/19/13,865,773,92,39,35,4,1,1,0,22,22,0,8,4,4
12/20/13,786,706,80,58,36,22,1,1,0,14,12,2,8,4,4
12/21/13,313,215,98,29,15,14,2,0,2,2,0,2,8,4,4
12/22/13,275,153,122,23,8,15,0,0,0,1,1,0,8,2,6
12/23/13,578,485,93,54,42,12,2,2,0,14,10,4,3,2,1
12/24/13,316,226,90,11,7,4,4,1,3,1,0,1,4,1,3
12/25/13,334,78,256,7,1,6,0,0,0,15,3,12,4,2,2
