station,hour,rides
Civic Center BART (7th at Market),11,194
Civic Center BART (7th at Market),12,213
Civic Center BART (7th at Market),13,198
Civic Center BART (7th at Market),14,151
Civic Center BART (7th at Market),15,140
Civic Center BART (7th at Market),16,160
Civic Center BART (7th at Market),17,179
Civic Center BART (7th at Market),18,121
Civic Center BART (7th at Market),19,70
Civic Center BART (7th at Market),20,86
Civic Center BART (7th at Market),21,33
Civic Center BART (7th at Market),22,32
Civic Center BART (7th at Market),23,29
Clay at Battery,00,10
Clay at Battery,01,6
Clay at Battery,02,7
Clay at Battery,03,8
Clay at Battery,04,1
Clay at Battery,05,5
Clay at Battery,06,92
Clay at Battery,07,50
Clay at Battery,08,105
Clay at Battery,09,134
Clay at Battery,10,127
Clay at Battery,11,126
Clay at Battery,12,198
Clay at Battery,13,168
Clay at Battery,14,144
Clay at Battery,15,179
Clay at Battery,16,241
Clay at Battery,17,331
Clay at Battery,18,238
Clay at Battery,19,109
Clay at Battery,20,48
Clay at Battery,21,39
Clay at Battery,22,32
Clay at Battery,23,21
Commercial at Montgomery,00,9
Commercial at Montgomery,01,5
Commercial at Montgomery,02,2
Commercial at Montgomery,03,4
Commercial at Montgomery,04,1
Commercial at Montgomery,05,3
Commercial at Montgomery,06,11
Commercial at Montgomery,07,34
Commercial at Montgomery,08,249
Commercial at Montgomery,09,107
Commercial at Montgomery,10,110
Commercial at Montgomery,11,162
Commercial at Montgomery,12,211
Commercial at Montgomery,13,302
Commercial at Montgomery,14,233
Commercial at Montgomery,15,203
Commercial at Montgomery,16,288
Commercial at Montgomery,17,468
Commercial at Montgomery,18,220
Commercial at Montgomery,19,94
Commercial at Montgomery,20,40
Commercial at Montgomery,21,34
Commercial at Montgomery,22,31
Commercial at Montgomery,23,13
Cowper at University,06,2
Cowper at University,07,8
Cowper at University,08,9
Cowper at University,09,47
Cowper at University,10,34
Cowper at University,11,16
Cowper at University,12,27
Cowper at University,13,14
Cowper at University,14,16
Cowper at University,15,15
Cowper at University,16,30
Cowper at University,17,35
Cowper at University,18,44
Cowper at University,19,30
Cowper at University,20,20
Cowper at University,21,7
Cowper at University,22,1
Davis at Jackson,00,8
Davis at Jackson,01,5
Davis at Jackson,02,5
Davis at Jackson,04,3
Davis at Jackson,05,37
Davis at Jackson,06,111
Davis at Jackson,07,104
Davis at Jackson,08,126
Davis at Jackson,09,174
Davis at Jackson,10,76
Davis at Jackson,11,98
Davis at Jackson,12,181
Davis at Jackson,13,175
Davis at Jackson,14,151
Davis at Jackson,15,149
Davis at Jackson,16,191
Davis at Jackson,17,286
Davis at Jackson,18,206
Davis at Jackson,19,102
Davis at Jackson,20,55
Davis at Jackson,21,24
