station,hour,rides
San Antonio Shopping Center,12,6
San Antonio Shopping Center,13,4
San Antonio Shopping Center,14,3
San Antonio Shopping Center,15,10
San Antonio Shopping Center,16,33
San Antonio Shopping Center,17,18
San Antonio Shopping Center,18,4
San Antonio Shopping Center,19,2
San Antonio Shopping Center,20,2
San Francisco Caltrain (Townsend at 4th),00,16
San Francisco Caltrain (Townsend at 4th),01,4
San Francisco Caltrain (Townsend at 4th),02,7
San Francisco Caltrain (Townsend at 4th),03,7
San Francisco Caltrain (Townsend at 4th),04,12
San Francisco Caltrain (Townsend at 4th),05,67
San Francisco Caltrain (Townsend at 4th),06,444
San Francisco Caltrain (Townsend at 4th),07,1636
San Francisco Caltrain (Townsend at 4th),08,2028
San Francisco Caltrain (Townsend at 4th),09,1173
San Francisco Caltrain (Townsend at 4th),10,468
San Francisco Caltrain (Townsend at 4th),11,319
San Francisco Caltrain (Townsend at 4th),12,255
San Francisco Caltrain (Townsend at 4th),13,217
San Francisco Caltrain (Townsend at 4th),14,200
San Francisco Caltrain (Townsend at 4th),15,214
San Francisco Caltrain (Townsend at 4th),16,306
San Francisco Caltrain (Townsend at 4th),17,839
San Francisco Caltrain (Townsend at 4th),18,725
San Francisco Caltrain (Townsend at 4th),19,475
San Francisco Caltrain (Townsend at 4th),20,165
San Francisco Caltrain (Townsend at 4th),21,126
San Francisco Caltrain (Townsend at 4th),22,88
San Francisco Caltrain (Townsend at 4th),23,47
San Francisco Caltrain 2 (330 Townsend),00,14
San Francisco Caltrain 2 (330 Townsend),01,1
San Francisco Caltrain 2 (330 Townsend),02,3
San Francisco Caltrain 2 (330 Townsend),03,2
San Francisco Caltrain 2 (330 Townsend),05,3
San Francisco Caltrain 2 (330 Townsend),06,52
San Francisco Caltrain 2 (330 Townsend),07,229
San Francisco Caltrain 2 (330 Townsend),08,987
San Francisco Caltrain 2 (330 Townsend),09,792
San Francisco Caltrain 2 (330 Townsend),10,400
San Francisco Caltrain 2 (330 Townsend),11,236
San Francisco Caltrain 2 (330 Townsend),12,222
San Francisco Caltrain 2 (330 Townsend),13,185
San Francisco Caltrain 2 (330 Townsend),14,147
San Francisco Caltrain 2 (330 Townsend),15,164
San Francisco Caltrain 2 (330 Townsend),16,258
San Francisco Caltrain 2 (330 Townsend),17,302
San Francisco Caltrain 2 (330 Townsend),18,359
San Francisco Caltrain 2 (330 Townsend),19,320
San Francisco Caltrain 2 (330 Townsend),20,153
San Francisco Caltrain 2 (330 Townsend),21,77
San Francisco Caltrain 2 (330 Townsend),22,47
San Francisco Caltrain 2 (330 Townsend),23,23
San Francisco City Hall,00,6
San Francisco City Hall,01,1
San Francisco City Hall,02,2
San Francisco City Hall,03,2
San Francisco City Hall,04,2
San Francisco City Hall,05,1
San Francisco City Hall,06,9
San Francisco City Hall,07,32
San Francisco City Hall,08,98
San Francisco City Hall,09,109
San Francisco City Hall,10,76
San Francisco City Hall,11,99
San Francisco City Hall,12,132
San Francisco City Hall,13,103
San Francisco City Hall,14,123
San Francisco City Hall,15,111
San Francisco City Hall,16,136
San Francisco City Hall,17,71
San Francisco City Hall,18,43
San Francisco City Hall,19,30
San Francisco City Hall,20,22
San Francisco City Hall,21,22
San Francisco City Hall,22,15
San Francisco City Hall,23,12
San Jose City Hall,00,9
San Jose City Hall,01,5
San Jose City Hall,04,1
San Jose City Hall,05,5
San Jose City Hall,06,3
San Jose City Hall,07,23
San Jose City Hall,08,5
San Jose City Hall,09,14
San Jose City Hall,10,41
San Jose City Hall,11,145
San Jose City Hall,12,64
San Jose City Hall,13,54
San Jose City Hall,14,43
San Jose City Hall,15,53
San Jose City Hall,16,100
San Jose City Hall,17,100
San Jose City Hall,18,31
San Jose City Hall,19,13
San Jose City Hall,20,12
San Jose City Hall,21,5
San Jose City Hall,22,8
San Jose City Hall,23,6
San Jose Civic Center,00,2
San Jose Civic Center,01,9
San Jose Civic Center,02,2
San Jose Civic Center,03,1
San Jose Civic Center,05,2
San Jose Civic Center,06,4
San Jose Civic Center,07,6
San Jose Civic Center,08,15
San Jose Civic Center,09,16
San Jose Civic Center,10,31
San Jose Civic Center,11,19
San Jose Civic Center,12,35
San Jose Civic Center,13,27
San Jose Civic Center,14,22
San Jose Civic Center,15,36
San Jose Civic Center,16,30
San Jose Civic Center,17,30
San Jose Civic Center,18,15
San Jose Civic Center,19,11
San Jose Civic Center,20,11
San Jose Civic Center,21,7
San Jose Civic Center,22,12
San Jose Civic Center,23,3
San Jose Diridon Caltrain Station,00,19
San Jose Diridon Caltrain Station,01,22
San Jose Diridon Caltrain Station,02,1
San Jose Diridon Caltrain Station,05,2
San Jose Diridon Caltrain Station,06,40
San Jose Diridon Caltrain Station,07,220
San Jose Diridon Caltrain Station,08,395
San Jose Diridon Caltrain Station,09,171
San Jose Diridon Caltrain Station,10,148
San Jose Diridon Caltrain Station,11,54
San Jose Diridon Caltrain Station,12,45
San Jose Diridon Caltrain Station,13,54
San Jose Diridon Caltrain Station,14,37
San Jose Diridon Caltrain Station,15,34
San Jose Diridon Caltrain Station,16,33
San Jose Diridon Caltrain Station,17,191
San Jose Diridon Caltrain Station,18,183
San Jose Diridon Caltrain Station,19,144
San Jose Diridon Caltrain Station,20,57
San Jose Diridon Caltrain Station,21,39
San Jose Diridon Caltrain Station,22,51
San Jose Diridon Caltrain Station,23,32
San Jose Government Center,08,1
San Jose Government Center,09,1
San Jose Government Center,10,1
San Jose Government Center,11,1
San Jose Government Center,12,10
San Jose Government Center,14,3
San Jose Government Center,15,1
San Jose Government Center,17,2
San Jose Government Center,18,1
San Jose Government Center,19,2
San Mateo County Center,07,1
San Mateo County Center,08,1
San Mateo County Center,09,2
San Mateo County Center,10,15
San Mateo County Center,11,7
San Mateo County Center,12,31
San Mateo County Center,13,10
San Mateo County Center,14,3
San Mateo County Center,15,10
San Mateo County Center,16,14
San Mateo County Center,17,4
San Mateo County Center,18,1
San Mateo County Center,19,1
San Mateo County Center,20,1
San Pedro Square,00,11
San Pedro Square,01,8
San Pedro Square,02,4
San Pedro Square,06,3
San Pedro Square,07,8
San Pedro Square,08,8
San Pedro Square,09,10
San Pedro Square,10,26
San Pedro Square,11,24
San Pedro Square,12,60
San Pedro Square,13,58
San Pedro Square,14,37
San Pedro Square,15,36
San Pedro Square,16,133
San Pedro Square,17,116
San Pedro Square,18,33
San Pedro Square,19,34
San Pedro Square,20,25
San Pedro Square,21,34
San Pedro Square,22,33
San Pedro Square,23,14
San Salvador at 1st,00,5
San Salvador at 1st,01,5
San Salvador at 1st,03,2
San Salvador at 1st,04,5
San Salvador at 1st,05,18
San Salvador at 1st,06,9
San Salvador at 1st,07,24
San Salvador at 1st,08,107
San Salvador at 1st,09,18
San Salvador at 1st,10,23
San Salvador at 1st,11,33
San Salvador at 1st,12,103
San Salvador at 1st,13,30
San Salvador at 1st,14,21
San Salvador at 1st,15,22
San Salvador at 1st,16,21
San Salvador at 1st,17,31
San Salvador at 1st,18,27
San Salvador at 1st,19,21
San Salvador at 1st,20,25
San Salvador at 1st,21,26
San Salvador at 1st,22,13
San Salvador at 1st,23,8
Santa Clara at Almaden,00,8
Santa Clara at Almaden,01,5
Santa Clara at Almaden,02,4
Santa Clara at Almaden,03,2
Santa Clara at Almaden,04,1
Santa Clara at Almaden,05,90
Santa Clara at Almaden,06,7
Santa Clara at Almaden,07,21
Santa Clara at Almaden,08,58
Santa Clara at Almaden,09,44
Santa Clara at Almaden,10,42
Santa Clara at Almaden,11,23
Santa Clara at Almaden,12,25
Santa Clara at Almaden,13,44
Santa Clara at Almaden,14,38
Santa Clara at Almaden,15,31
Santa Clara at Almaden,16,153
Santa Clara at Almaden,17,138
Santa Clara at Almaden,18,65
Santa Clara at Almaden,19,18
Santa Clara at Almaden,20,8
Santa Clara at Almaden,21,4
Santa Clara at Almaden,22,10
Santa Clara at Almaden,23,16
SJSU - San Salvador at 9th,00,3
SJSU - San Salvador at 9th,02,6
SJSU - San Salvador at 9th,06,40
SJSU - San Salvador at 9th,07,40
SJSU - San Salvador at 9th,08,24
SJSU - San Salvador at 9th,09,52
SJSU - San Salvador at 9th,10,28
SJSU - San Salvador at 9th,11,14
SJSU - San Salvador at 9th,12,27
SJSU - San Salvador at 9th,13,20
SJSU - San Salvador at 9th,14,29
SJSU - San Salvador at 9th,15,28
SJSU - San Salvador at 9th,16,37
SJSU - San Salvador at 9th,17,39
SJSU - San Salvador at 9th,18,24
SJSU - San Salvador at 9th,19,16
SJSU - San Salvador at 9th,20,17
SJSU - San Salvador at 9th,21,22
SJSU - San Salvador at 9th,22,12
SJSU - San Salvador at 9th,23,11
SJSU 4th at San Carlos,00,5
SJSU 4th at San Carlos,01,3
SJSU 4th at San Carlos,02,1
SJSU 4th at San Carlos,03,2
SJSU 4th at San Carlos,05,2
SJSU 4th at San Carlos,06,1
SJSU 4th at San Carlos,08,3
SJSU 4th at San Carlos,09,8
SJSU 4th at San Carlos,10,14
SJSU 4th at San Carlos,11,35
SJSU 4th at San Carlos,12,41
SJSU 4th at San Carlos,13,38
SJSU 4th at San Carlos,14,16
SJSU 4th at San Carlos,15,15
SJSU 4th at San Carlos,16,25
SJSU 4th at San Carlos,17,40
SJSU 4th at San Carlos,18,35
SJSU 4th at San Carlos,19,21
SJSU 4th at San Carlos,20,24
SJSU 4th at San Carlos,21,41
SJSU 4th at San Carlos,22,15
SJSU 4th at San Carlos,23,4
South Van Ness at Market,00,25
South Van Ness at Market,01,8
South Van Ness at Market,02,9
South Van Ness at Market,03,4
South Van Ness at Market,04,7
South Van Ness at Market,05,5
South Van Ness at Market,06,43
South Van Ness at Market,07,256
South Van Ness at Market,08,583
South Van Ness at Market,09,333
South Van Ness at Market,10,182
South Van Ness at Market,11,230
South Van Ness at Market,12,270
South Van Ness at Market,13,156
South Van Ness at Market,14,163
South Van Ness at Market,15,146
South Van Ness at Market,16,351
South Van Ness at Market,17,313
South Van Ness at Market,18,129
South Van Ness at Market,19,69
South Van Ness at Market,20,98
South Van Ness at Market,21,90
South Van Ness at Market,22,33
South Van Ness at Market,23,18
Spear at Folsom,00,8
Spear at Folsom,01,5
Spear at Folsom,02,3
Spear at Folsom,04,2
Spear at Folsom,05,50
Spear at Folsom,06,129
Spear at Folsom,07,201
Spear at Folsom,08,261
Spear at Folsom,09,269
Spear at Folsom,10,250
Spear at Folsom,11,201
Spear at Folsom,12,236
Spear at Folsom,13,229
Spear at Folsom,14,175
Spear at Folsom,15,160
Spear at Folsom,16,196
Spear at Folsom,17,426
Spear at Folsom,18,316
Spear at Folsom,19,149
Spear at Folsom,20,83
Spear at Folsom,21,44
Spear at Folsom,22,17
Spear at Folsom,23,13
St James Park,00,1
St James Park,05,3
St James Park,06,13
St James Park,07,27
St James Park,08,6
St James Park,09,14
St James Park,10,14
St James Park,11,14
St James Park,12,31
St James Park,13,19
St James Park,14,23
St James Park,15,21
St James Park,16,67
St James Park,17,44
St James Park,18,23
St James Park,19,18
St James Park,20,13
St James Park,21,9
St James Park,22,4
St James Park,23,2
Steuart at Market,00,22
Steuart at Market,01,8
Steuart at Market,02,2
Steuart at Market,04,2
Steuart at Market,06,106
Steuart at Market,07,273
Steuart at Market,08,598
Steuart at Market,09,615
Steuart at Market,10,204
Steuart at Market,11,219
Steuart at Market,12,266
Steuart at Market,13,269
Steuart at Market,14,223
Steuart at Market,15,305
Steuart at Market,16,479
Steuart at Market,17,585
Steuart at Market,18,370
Steuart at Market,19,145
Steuart at Market,20,83
Steuart at Market,21,67
Steuart at Market,22,43
Steuart at Market,23,29
Temporary Transbay Terminal (Howard at Beale),00,5
Temporary Transbay Terminal (Howard at Beale),01,3
Temporary Transbay Terminal (Howard at Beale),02,1
Temporary Transbay Terminal (Howard at Beale),03,2
Temporary Transbay Terminal (Howard at Beale),05,10
Temporary Transbay Terminal (Howard at Beale),06,120
Temporary Transbay Terminal (Howard at Beale),07,599
Temporary Transbay Terminal (Howard at Beale),08,1150
Temporary Transbay Terminal (Howard at Beale),09,666
Temporary Transbay Terminal (Howard at Beale),10,126
Temporary Transbay Terminal (Howard at Beale),11,158
Temporary Transbay Terminal (Howard at Beale),12,214
Temporary Transbay Terminal (Howard at Beale),13,159
Temporary Transbay Terminal (Howard at Beale),14,122
Temporary Transbay Terminal (Howard at Beale),15,174
Temporary Transbay Terminal (Howard at Beale),16,411
Temporary Transbay Terminal (Howard at Beale),17,496
Temporary Transbay Terminal (Howard at Beale),18,397
Temporary Transbay Terminal (Howard at Beale),19,198
Temporary Transbay Terminal (Howard at Beale),20,47
Temporary Transbay Terminal (Howard at Beale),21,24
Temporary Transbay Terminal (Howard at Beale),22,15
Temporary Transbay Terminal (Howard at Beale),23,16
Townsend at 7th,00,11
Townsend at 7th,01,5
Townsend at 7th,02,6
Townsend at 7th,03,2
Townsend at 7th,04,2
Townsend at 7th,05,3
Townsend at 7th,06,112
Townsend at 7th,07,156
Townsend at 7th,08,326
Townsend at 7th,09,225
Townsend at 7th,10,149
Townsend at 7th,11,185
Townsend at 7th,12,259
Townsend at 7th,13,306
Townsend at 7th,14,199
Townsend at 7th,15,192
Townsend at 7th,16,505
Townsend at 7th,17,706
Townsend at 7th,18,476
Townsend at 7th,19,266
Townsend at 7th,20,179
Townsend at 7th,21,139
Townsend at 7th,22,52
Townsend at 7th,23,32
University and Emerson,00,3
University and Emerson,01,6
University and Emerson,02,3
University and Emerson,03,1
University and Emerson,05,1
University and Emerson,06,3
University and Emerson,07,5
University and Emerson,08,8
University and Emerson,09,21
University and Emerson,10,32
University and Emerson,11,29
University and Emerson,12,38
University and Emerson,13,30
University and Emerson,14,61
University and Emerson,15,38
University and Emerson,16,36
University and Emerson,17,36
University and Emerson,18,24
University and Emerson,19,20
University and Emerson,20,8
University and Emerson,21,12
University and Emerson,22,16
University and Emerson,23,3
Washington at Kearney,00,16
Washington at Kearney,01,1
Washington at Kearney,02,2
Washington at Kearney,04,1
Washington at Kearney,05,2
Washington at Kearney,06,12
Washington at Kearney,07,32
Washington at Kearney,08,162
Washington at Kearney,09,129
Washington at Kearney,10,67
Washington at Kearney,11,80
Washington at Kearney,12,85
Washington at Kearney,13,105
Washington at Kearney,14,123
Washington at Kearney,15,124
Washington at Kearney,16,145
Washington at Kearney,17,148
Washington at Kearney,18,82
Washington at Kearney,19,43
Washington at Kearney,20,40
Washington at Kearney,21,38
Washington at Kearney,22,21
Washington at Kearney,23,14
Yerba Buena Center of the Arts (3rd @ Howard),00,12
Yerba Buena Center of the Arts (3rd @ Howard),01,9
Yerba Buena Center of the Arts (3rd @ Howard),02,6
Yerba Buena Center of the Arts (3rd @ Howard),03,1
Yerba Buena Center of the Arts (3rd @ Howard),05,9
Yerba Buena Center of the Arts (3rd @ Howard),06,46
Yerba Buena Center of the Arts (3rd @ Howard),07,42
Yerba Buena Center of the Arts (3rd @ Howard),08,123
Yerba Buena Center of the Arts (3rd @ Howard),09,130
Yerba Buena Center of the Arts (3rd @ Howard),10,112
Yerba Buena Center of the Arts (3rd @ Howard),11,89
Yerba Buena Center of the Arts (3rd @ Howard),12,175
Yerba Buena Center of the Arts (3rd @ Howard),13,180
Yerba Buena Center of the Arts (3rd @ Howard),14,146
Yerba Buena Center of the Arts (3rd @ Howard),15,177
Yerba Buena Center of the Arts (3rd @ Howard),16,233
Yerba Buena Center of the Arts (3rd @ Howard),17,447
Yerba Buena Center of the Arts (3rd @ Howard),18,206
Yerba Buena Center of the Arts (3rd @ Howard),19,117
Yerba Buena Center of the Arts (3rd @ Howard),20,101
Yerba Buena Center of the Arts (3rd @ Howard),21,58
Yerba Buena Center of the Arts (3rd @ Howard),22,48
Yerba Buena Center of the Arts (3rd @ Howard),23,20
