start,end,rides
1,1,60
1,2,494
1,3,16
1,4,12
1,5,4
1,6,3
1,7,33
2,1,592
2,2,129
2,3,41
2,4,159
2,5,23
2,6,100
2,7,94
3,1,15
3,2,21
3,3,33
3,4,4
3,5,48
3,7,79
4,1,12
4,2,154
4,3,2
4,4,50
5,1,6
5,2,23
5,3,59
5,5,6
5,6,3
5,7,1
6,1,10
6,2,95
6,5,4
6,6,22
6,7,1
7,1,40
7,2,90
7,3,48
7,5,1
7,7,54
