date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
11/10/13,7,3,4,9,2,7,55,,1,1,0,1,,,,,0,
11/11/13,6,6,0,8,6,2,59,,0,2,0,,,,,,1,Veterans Day
11/12/13,6,5,1,10,7,3,62,,0,3,0,,,,,,0,
11/13/13,9,7,2,9,6,3,62,,0,4,0,,,,,,0,
11/14/13,4,3,1,9,6,4,56,,0,5,0,,,,,,0,
11/15/13,16,6,10,9,6,3,56,,0,6,0,,,,,,0,
11/16/13,12,4,8,10,3,8,54,,1,7,0,,,,,,0,
11/17/13,18,7,11,9,2,7,53,,1,1,0,,,,,,0,
11/18/13,4,3,1,8,6,2,52,,0,2,0,,,,,,0,
11/19/13,12,6,6,10,7,3,57,1,0,3,0,,,,,,0,
11/20/13,8,4,4,9,6,3,59,1,0,4,0,,,,,,0,
11/21/13,12,5,7,9,6,4,56,1,0,5,0,,,1,,,0,
11/22/13,8,4,4,9,6,3,59,,0,6,0,,,,,,0,
11/23/13,7,2,5,10,3,8,53,,1,7,0,,,1,,,0,
11/24/13,1,1,0,9,2,7,53,,1,1,0,,,,,,0,
11/25/13,11,8,3,8,6,2,53,,0,2,0,,,,,,0,
11/26/13,11,9,2,10,7,3,53,,0,3,0,,,,,,0,
11/27/13,8,4,4,9,6,3,54,,0,4,0,,,1,,,0,
11/28/13,10,0,10,9,6,4,57,,0,5,0,,,,,,1,Thanksgiving
11/29/13,5,3,2,9,6,3,56,,0,6,0,,,1,,,1,Thanksgiving Friday
11/30/13,8,4,4,10,3,8,55,,1,7,0,,,1,,,0,
12/01/13,6,2,4,9,2,7,54,,1,1,0,1,,,,,0,
12/02/13,12,12,0,8,6,2,53,,0,2,0,,,,,,0,
12/03/13,5,5,0,10,7,3,50,,0,3,0,,,,,,0,
12/04/13,12,10,2,9,6,3,44,,0,4,0,,,,,,0,
12/05/13,11,10,1,9,6,4,40,,0,5,0,,,,,,0,
12/06/13,3,2,1,9,6,3,45,1,0,6,0,,,,,,0,
12/07/13,1,1,0,10,3,8,43,,1,7,0,,,,,,0,
12/08/13,2,1,1,9,2,7,39,,1,1,0,1,,,,,0,
12/09/13,9,9,0,8,6,2,40,,0,2,0,,,,,,0,
12/10/13,7,4,3,10,7,3,41,,0,3,0,,,1,,,0,
12/11/13,7,3,4,9,6,3,44,,0,4,0,,,,,,0,
12/12/13,11,7,4,9,6,4,46,,0,5,0,,,1,,,0,
12/13/13,10,7,3,9,6,3,48,,0,6,0,,,,,,0,
12/14/13,2,2,0,10,3,8,48,,1,7,1,,,,,,0,
12/15/13,4,2,2,9,2,7,48,,1,1,1,,,,,,0,
12/16/13,13,13,0,8,6,2,53,,0,2,1,,,,,,0,
12/17/13,7,7,0,10,7,3,51,,0,3,1,,,,,,0,
12/18/13,5,4,1,9,6,3,51,,0,4,1,,,,,,0,
12/19/13,8,4,4,9,6,4,52,,0,5,0,,,,,,0,
12/20/13,8,4,4,9,6,3,50,,0,6,0,,,,,,0,
12/21/13,8,4,4,10,3,8,49,,1,7,0,,,1,,,0,
12/22/13,8,2,6,9,2,7,53,,1,1,0,,,,,,0,
12/23/13,3,2,1,8,6,2,51,,0,2,0,1,,1,,,0,
12/24/13,4,1,3,10,7,3,56,,0,3,0,,,,,,1,Christmas Eve
12/25/13,4,2,2,9,6,3,52,,0,4,0,,,,,,1,Christmas
12/26/13,6,4,2,9,6,4,53,,0,5,0,,,,,,0,
12/27/13,5,4,1,9,6,3,49,,0,6,0,,,,,,0,
12/28/13,4,0,4,10,3,8,52,,1,7,0,,,,,,0,
12/29/13,6,1,5,9,2,7,55,,1,1,0,,,1,,,0,
12/30/13,7,0,7,8,6,2,50,,0,2,0,,,,,,0,
12/31/13,14,2,12,10,7,3,49,,0,3,0,,,,,,1,New Years Eve
01/01/14,12,0,12,9,6,3,48,,0,4,0,,,,,,1,New Years
01/02/14,6,6,0,9,6,4,53,,0,5,0,,,1,,,0,
01/03/14,7,7,0,9,6,3,52,,0,6,0,,,,,,0,
01/04/14,16,4,12,10,3,8,54,,1,7,0,,,,,,0,
01/05/14,6,0,6,9,2,7,51,,1,1,0,,,,,,0,
01/06/14,6,6,0,8,6,2,51,,0,2,0,,,,,,0,
01/07/14,10,9,1,10,7,3,53,,0,3,0,,,,,,0,
01/08/14,2,2,0,9,6,3,53,1,0,4,0,,,,,,0,
01/09/14,9,7,2,9,6,4,54,1,0,5,0,,,1,,,0,
01/10/14,5,3,2,9,6,3,53,,0,6,0,,,,,,0,
01/11/14,2,0,2,10,3,8,52,,1,7,0,,,1,,,0,
01/12/14,4,1,3,9,2,7,51,,1,1,0,,,,,,0,
01/13/14,10,9,1,8,6,2,57,,0,2,0,,,,,,0,
01/14/14,13,11,2,10,7,3,59,,0,3,0,,,,,,0,
01/15/14,10,8,2,9,6,3,58,,0,4,0,,,,,,0,
01/16/14,10,8,2,9,6,4,57,,0,5,0,,,,,,0,
01/17/14,11,9,2,9,6,3,55,,0,6,0,,,,,,0,
01/18/14,17,5,12,10,3,8,55,,1,7,0,,,,,,0,
01/19/14,10,3,7,9,2,7,53,,1,1,0,,,,,,0,
01/20/14,11,4,7,8,6,2,55,,0,2,0,,,,,,1,MLK Day
01/21/14,12,10,2,10,7,3,54,,0,3,0,,,,,,0,
01/22/14,8,7,1,9,6,3,57,,0,4,0,,,,,,0,
01/23/14,6,4,2,9,6,4,55,,0,5,0,,,1,,,0,
01/24/14,19,11,8,9,6,3,54,,0,6,0,,,,,,0,
01/25/14,5,2,3,10,3,8,59,,1,7,0,,,1,,,0,
01/26/14,6,2,4,9,2,7,58,,1,1,0,,,,,,0,
01/27/14,5,5,0,8,6,2,55,,0,2,0,,,1,,,0,
01/28/14,12,10,2,10,7,3,57,1,0,3,0,,,,,,0,
01/29/14,2,1,1,9,6,3,62,1,0,4,0,,,,,,0,
01/30/14,7,7,0,9,6,4,58,1,0,5,0,,,,,,0,
01/31/14,5,4,1,9,6,3,53,,0,6,0,,,,,,0,
02/01/14,2,1,1,10,3,8,49,,1,7,0,,,1,,,0,
02/02/14,1,0,1,9,2,7,49,1,1,1,0,,,,,,0,
02/03/14,7,6,1,8,6,2,50,,0,2,0,,,1,,,0,
02/04/14,10,9,1,10,7,3,47,,0,3,0,,,,,,0,
02/05/14,3,2,1,9,6,3,47,1,0,4,0,,,1,,,0,
02/06/14,2,2,0,9,6,4,52,1,0,5,0,,,,,,0,
02/07/14,4,3,1,9,6,3,53,1,0,6,0,,,1,,,0,
02/08/14,0,0,0,10,3,8,60,1,1,7,0,,,,,,0,
02/09/14,5,1,4,9,2,7,63,1,1,1,0,,,,,,0,
02/10/14,7,7,0,8,6,2,57,1,0,2,0,,,,,,0,
02/11/14,7,7,0,10,7,3,55,,0,3,0,,,,,,0,
02/12/14,9,5,4,9,6,3,55,,0,4,0,,,,,,0,
02/13/14,9,4,5,9,6,4,60,,0,5,0,,,,,,0,
02/14/14,10,5,5,9,6,3,59,,0,6,0,,,,,,1,Valentine's Day
02/15/14,8,1,7,10,3,8,57,1,1,7,0,,,,,,0,
02/16/14,12,0,12,9,2,7,57,1,1,1,0,,,,,,0,
02/17/14,1,1,0,8,6,2,52,,0,2,0,,,,,,1,Presidents' Day
02/18/14,6,5,1,10,7,3,54,,0,3,0,,,,,,0,
02/19/14,5,3,2,9,6,3,58,1,0,4,0,,,,,,0,
02/20/14,3,3,0,9,6,4,57,,0,5,0,,,,,,0,
02/21/14,12,11,1,9,6,3,58,,0,6,0,,,,,,0,
02/22/14,8,2,6,10,3,8,58,,1,7,0,,,,,,0,
02/23/14,3,1,2,9,2,7,59,,1,1,0,,,,,,0,
02/24/14,10,10,0,8,6,2,60,,0,2,0,,,,,,0,
02/25/14,12,11,1,10,7,3,56,,0,3,0,,,,,,0,
02/26/14,6,6,0,9,6,3,58,1,0,4,0,,,,,,0,
02/27/14,5,5,0,9,6,4,60,1,0,5,0,,,,,,0,
02/28/14,7,7,0,9,6,3,59,1,0,6,0,,,,,,0,
