date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
09/28/13,35,25,10,32,19,13,67,,1,7,0,,1,,,,0,
09/29/13,20,16,4,30,15,15,66,,1,1,0,,1,,,,0,
09/30/13,56,48,8,52,44,7,67,,0,2,0,,,,,,0,
10/01/13,61,53,8,55,49,6,63,,0,3,0,,,,,1,0,
10/02/13,64,56,8,57,50,6,64,,0,4,0,,,,,1,0,
10/03/13,81,67,14,59,52,7,62,,0,5,0,,,1,,1,0,
10/04/13,76,64,12,56,45,11,70,,0,6,0,,,,,1,0,
10/05/13,48,37,11,32,19,13,67,,1,7,0,,,1,,1,0,
10/06/13,58,35,23,30,15,15,67,,1,1,0,1,,,,1,0,
10/07/13,48,42,6,52,44,7,68,,0,2,0,,,,,1,0,
10/08/13,79,65,14,55,49,6,63,,0,3,0,,,1,,1,0,
10/09/13,63,58,5,57,50,6,59,,0,4,0,,,,,1,0,
10/10/13,64,61,3,59,52,7,62,,0,5,0,,,,,1,0,
10/11/13,72,59,13,56,45,11,58,,0,6,0,,,,,1,0,
10/12/13,46,33,13,32,19,13,59,,1,7,0,,,1,,1,0,
10/13/13,33,20,13,30,15,15,60,,1,1,0,1,,,,1,0,
10/14/13,55,46,9,52,44,7,63,,0,2,0,,,,,1,1,Columbus Day
10/15/13,70,60,10,55,49,6,63,,0,3,0,,,,,1,0,
10/16/13,65,55,10,57,50,6,66,,0,4,0,,,,,1,0,
10/17/13,87,74,13,59,52,7,65,,0,5,0,,,,,,0,
10/18/13,70,51,19,56,45,11,64,,0,6,1,,,,,,0,
10/19/13,39,28,11,32,19,13,64,,1,7,1,,,1,,,0,
10/20/13,40,22,18,30,15,15,62,,1,1,1,,,,,,0,
10/21/13,71,66,5,52,44,7,61,,0,2,1,,,,,,0,
10/22/13,84,68,16,55,49,6,62,,0,3,0,,,,,,0,
10/23/13,86,62,24,57,50,6,60,,0,4,0,,,,,,0,
10/24/13,106,96,10,59,52,7,55,,0,5,0,,,,,,0,
10/25/13,63,52,11,56,45,11,58,,0,6,0,,,,,,0,
10/26/13,29,13,16,32,19,13,61,,1,7,0,,,,,,0,
10/27/13,31,17,14,30,15,15,57,,1,1,0,,,,,,0,
10/28/13,72,64,8,52,44,7,59,,0,2,0,,,,,,0,
