duration,Subscriber,Customer,Total
1-2,126,2186,2312
2-3,52,1034,1086
3-4,28,677,705
4-5,16,454,470
5-6,6,291,297
6-7,10,180,190
7-8,11,111,122
8-9,8,60,68
9-10,7,35,42
10-11,3,21,24
11-12,5,22,27
12-13,2,22,24
13-14,7,12,19
14-15,7,16,23
15-16,,11,11
16-17,1,12,13
17-18,2,18,20
18-19,3,20,23
19-20,3,19,22
20-21,1,27,28
21-22,4,25,29
22-23,1,19,20
23-24,3,36,39
>24,11,71,82
